Doing_Business_As,Restaurant_Address,lon,lat
ASHBY SUPERMARKET 1099/1643,"2948 MARTIN LUTHER KING JR WY BERKELEY, CA",-122.2713703,37.8544007
SUSHI CALIFORNIA,"2033 MARTIN LUTHER KING JR WY BERKELEY, CA",-122.2728183,37.8711462
CITY LEE MARKET,"2700 MARTIN LUTHER KING JR WAY BERKELEY, CA",-122.2719684,37.859596
#1 GAS  1099/1616,"1900 MARTIN LUTHER KING JR WY BERKELEY, CA",-122.2735635,37.8730637
FAT APPLE'S INC.,"1346 MARTIN LUTHER KING JR WY BERKELEY, CA",-122.2742945,37.8815655
CHLOE CAFE,"2080 MARTIN LUTHER KING JR WAY BERKELEY, CA",-122.2731167,37.8707458
BAIANO PIZZERIA,"1916 MARTIN LUTHER KING JR WAY BERKELEY, CA",-122.2734558,37.8728368
NEIGHBORS MARKET,"1343 MARTIN LUTHER KING JR WAY BERKELEY, CA",-122.2738736,37.8817129
GOLD LEAF CAFE,"1947 MARTIN LUTHER KING JR WAY BERKELEY, CA",-122.2728455,37.8719228
CAFE NOSDOS,"1930 MARTIN LUTHER KING JR WAY BERKELEY, CA",-122.2732704,37.872201
SECRET SCOOP,"1922 MARTIN LUTHER KING JR WAY BERKELEY, CA",-122.2735212,37.8726558
XTRA OIL CO/CHEVRON/THE ALAM,"1201 THE ALAMEDA BERKELEY, CA",-122.2744606,37.8854678
